Citeste toti clientii din fisier,2020-06-04 16:48:22.082
Adauga client,2020-06-04 16:48:22.091
Get pensionari,2020-06-04 16:48:22.093
Adauga client,2020-06-04 16:48:22.093
Get studenti,2020-06-04 16:48:22.093
Get copii,2020-06-04 16:48:22.093
Citeste toti clientii din fisier,2020-06-04 17:11:47.784
Adauga client,2020-06-04 17:11:47.802
Get pensionari,2020-06-04 17:11:47.803
Adauga client,2020-06-04 17:11:47.804
Get studenti,2020-06-04 17:11:47.804
Get copii,2020-06-04 17:11:47.805
Citeste toti clientii din fisier,2020-06-04 17:11:47.806
Citeste toti clientii din fisier,2020-06-04 17:23:41.649
Adauga client,2020-06-04 17:23:41.661
Get pensionari,2020-06-04 17:23:41.662
Adauga client,2020-06-04 17:23:41.662
Get studenti,2020-06-04 17:23:41.662
Get copii,2020-06-04 17:23:41.663
Citeste toti clientii din fisier,2020-06-04 17:23:41.664
Citeste toti clientii din fisier,2020-06-04 17:24:33.042
Adauga client,2020-06-04 17:24:33.051
Get pensionari,2020-06-04 17:24:33.052
Adauga client,2020-06-04 17:24:33.052
Get studenti,2020-06-04 17:24:33.052
Get copii,2020-06-04 17:24:33.053
Citeste toti clientii din fisier,2020-06-04 17:24:33.053
Citeste toti clientii din fisier,2020-06-04 17:31:36.968
Adauga client,2020-06-04 17:31:36.983
Get pensionari,2020-06-04 17:31:36.983
Adauga client,2020-06-04 17:31:36.984
Get studenti,2020-06-04 17:31:36.984
Get copii,2020-06-04 17:31:36.984
Citeste toti clientii din fisier,2020-06-04 17:31:36.985
Citeste toti clientii din fisier,2020-06-04 17:33:32.831
Adauga client,2020-06-04 17:33:32.843
Get pensionari,2020-06-04 17:33:32.843
Adauga client,2020-06-04 17:33:32.843
Get studenti,2020-06-04 17:33:32.844
Get copii,2020-06-04 17:33:32.844
Citeste toti clientii din fisier,2020-06-04 17:33:32.845
Get clienti,2020-06-04 17:33:36.764
Citeste toti clientii din fisier,2020-06-04 17:39:36.169
Adauga client,2020-06-04 17:39:36.183
Get pensionari,2020-06-04 17:39:36.184
Adauga client,2020-06-04 17:39:36.184
Get studenti,2020-06-04 17:39:36.184
Get copii,2020-06-04 17:39:36.185
Citeste toti clientii din fisier,2020-06-04 17:39:36.185
Citeste toti clientii din fisier,2020-06-04 17:40:29.803
Adauga client,2020-06-04 17:40:29.813
Get pensionari,2020-06-04 17:40:29.813
Adauga client,2020-06-04 17:40:29.813
Get studenti,2020-06-04 17:40:29.813
Get copii,2020-06-04 17:40:29.814
Citeste toti clientii din fisier,2020-06-04 17:40:29.814
